标准整编时间,情报出现时间,情报上报时间,标准融合时间,开始融合时间,融合结束时间,发布标准时间,情报发布时间,情报多源性,战场复杂性,整编得分,融合得分,发布得分,客观得分,主观得分,综合得分
30.0,67.0,244.0,30.0,258.0,347.0,777.0,747.0,0.6,0.6,0.05084745762711864,0.10112359550561797,0.1,0.2519710531327366,0.18,0.4319710531327366
30.0,103.0,214.0,30.0,231.0,380.0,777.0,747.0,0.6,0.6,0.08108108108108109,0.060402684563758385,0.1,0.24148376564483948,0.18,0.42148376564483947
30.0,92.0,293.0,30.0,306.0,371.0,777.0,747.0,0.6,0.6,0.04477611940298507,0.13846153846153847,0.1,0.28323765786452354,0.18,0.46323765786452353
30.0,53.0,253.0,30.0,253.0,460.0,777.0,747.0,0.6,0.6,0.045,0.043478260869565216,0.1,0.1884782608695652,0.18,0.3684782608695652
30.0,113.0,224.0,30.0,232.0,298.0,777.0,747.0,0.6,0.6,0.08108108108108109,0.13636363636363635,0.1,0.3174447174447175,0.18,0.49744471744471747
30.0,3.0,151.0,30.0,159.0,238.0,777.0,747.0,0.6,0.6,0.060810810810810814,0.11392405063291139,0.1,0.27473486144372217,0.18,0.45473486144372216
30.0,33.0,49.0,30.0,71.0,297.0,777.0,747.0,0.6,0.6,0.3,0.03982300884955752,0.1,0.4398230088495575,0.18,0.6198230088495575
30.0,51.0,109.0,30.0,123.0,144.0,777.0,747.0,0.6,0.6,0.15517241379310345,0.3,0.1,0.5551724137931034,0.18,0.7351724137931035
30.0,102.0,192.0,30.0,210.0,283.0,777.0,747.0,0.6,0.6,0.09999999999999999,0.1232876712328767,0.1,0.3232876712328767,0.18,0.5032876712328767
30.0,117.0,354.0,30.0,370.0,409.0,777.0,747.0,0.6,0.6,0.0379746835443038,0.23076923076923078,0.1,0.3687439143135346,0.18,0.5487439143135346
30.0,72.0,130.0,30.0,149.0,289.0,777.0,747.0,0.6,0.6,0.15517241379310345,0.06428571428571428,0.1,0.31945812807881774,0.18,0.49945812807881773
30.0,20.0,194.0,30.0,221.0,368.0,777.0,747.0,0.6,0.6,0.05172413793103448,0.061224489795918366,0.1,0.21294862772695286,0.18,0.3929486277269528
30.0,41.0,136.0,30.0,136.0,347.0,777.0,747.0,0.6,0.6,0.09473684210526315,0.042654028436018954,0.1,0.2373908705412821,0.18,0.4173908705412821
30.0,35.0,91.0,30.0,95.0,180.0,777.0,747.0,0.6,0.6,0.1607142857142857,0.10588235294117647,0.1,0.3665966386554622,0.18,0.5465966386554622
30.0,49.0,124.0,30.0,136.0,164.0,777.0,747.0,0.6,0.6,0.12,0.3,0.1,0.52,0.18,0.7
30.0,77.0,165.0,30.0,165.0,240.0,777.0,747.0,0.6,0.6,0.10227272727272727,0.12,0.1,0.32227272727272727,0.18,0.5022727272727272
30.0,84.0,117.0,30.0,127.0,164.0,777.0,747.0,0.6,0.6,0.2727272727272727,0.24324324324324326,0.1,0.6159705159705159,0.18,0.7959705159705159
30.0,2.0,166.0,30.0,170.0,392.0,777.0,747.0,0.6,0.6,0.054878048780487805,0.04054054054054054,0.1,0.19541858932102835,0.18,0.37541858932102834
30.0,118.0,132.0,30.0,138.0,345.0,777.0,747.0,0.6,0.6,0.3,0.043478260869565216,0.1,0.4434782608695652,0.18,0.6234782608695653
30.0,12.0,97.0,30.0,116.0,337.0,777.0,747.0,0.6,0.6,0.10588235294117647,0.04072398190045248,0.1,0.24660633484162894,0.18,0.4266063348416289
30.0,110.0,120.0,30.0,131.0,289.0,777.0,747.0,0.6,0.6,0.3,0.056962025316455694,0.1,0.4569620253164557,0.18,0.6369620253164556
30.0,107.0,167.0,30.0,192.0,364.0,777.0,747.0,0.6,0.6,0.15,0.05232558139534884,0.1,0.3023255813953488,0.18,0.4823255813953488
30.0,74.0,136.0,30.0,152.0,206.0,777.0,747.0,0.6,0.6,0.14516129032258066,0.16666666666666666,0.1,0.41182795698924735,0.18,0.5918279569892473
30.0,38.0,146.0,30.0,162.0,308.0,777.0,747.0,0.6,0.6,0.08333333333333333,0.06164383561643835,0.1,0.2449771689497717,0.18,0.42497716894977167
30.0,59.0,205.0,30.0,234.0,304.0,777.0,747.0,0.6,0.6,0.06164383561643835,0.12857142857142856,0.1,0.2902152641878669,0.18,0.4702152641878669
30.0,14.0,200.0,30.0,229.0,254.0,777.0,747.0,0.6,0.6,0.04838709677419355,0.3,0.1,0.4483870967741935,0.18,0.6283870967741936
30.0,73.0,192.0,30.0,204.0,234.0,777.0,747.0,0.6,0.6,0.07563025210084033,0.3,0.1,0.4756302521008403,0.18,0.6556302521008404
30.0,7.0,203.0,30.0,223.0,356.0,777.0,747.0,0.6,0.6,0.04591836734693878,0.06766917293233082,0.1,0.2135875402792696,0.18,0.39358754027926957
30.0,4.0,100.0,30.0,103.0,197.0,777.0,747.0,0.6,0.6,0.09375,0.09574468085106383,0.1,0.28949468085106383,0.18,0.46949468085106383
30.0,77.0,185.0,30.0,205.0,325.0,777.0,747.0,0.6,0.6,0.08333333333333333,0.075,0.1,0.2583333333333333,0.18,0.4383333333333333
30.0,17.0,79.0,30.0,87.0,228.0,777.0,747.0,0.6,0.6,0.14516129032258066,0.06382978723404255,0.1,0.30899107755662325,0.18,0.48899107755662324
30.0,73.0,272.0,30.0,272.0,327.0,777.0,747.0,0.6,0.6,0.045226130653266326,0.1636363636363636,0.1,0.30886249428963,0.18,0.48886249428962997
30.0,50.0,88.0,30.0,102.0,303.0,777.0,747.0,0.6,0.6,0.23684210526315788,0.04477611940298507,0.1,0.3816182246661429,0.18,0.561618224666143
30.0,19.0,230.0,30.0,237.0,433.0,777.0,747.0,0.6,0.6,0.042654028436018954,0.04591836734693878,0.1,0.18857239578295773,0.18,0.36857239578295775
30.0,66.0,180.0,30.0,188.0,277.0,777.0,747.0,0.6,0.6,0.07894736842105263,0.10112359550561797,0.1,0.28007096392667064,0.18,0.46007096392667063
30.0,54.0,136.0,30.0,150.0,343.0,777.0,747.0,0.6,0.6,0.10975609756097561,0.046632124352331605,0.1,0.25638822191330723,0.18,0.43638822191330723
30.0,100.0,191.0,30.0,200.0,304.0,777.0,747.0,0.6,0.6,0.0989010989010989,0.08653846153846152,0.1,0.2854395604395604,0.18,0.4654395604395604
30.0,18.0,104.0,30.0,111.0,145.0,777.0,747.0,0.6,0.6,0.10465116279069768,0.2647058823529412,0.1,0.46935704514363885,0.18,0.6493570451436388
30.0,101.0,117.0,30.0,117.0,216.0,777.0,747.0,0.6,0.6,0.3,0.09090909090909091,0.1,0.49090909090909085,0.18,0.6709090909090909
30.0,96.0,331.0,30.0,343.0,568.0,777.0,747.0,0.6,0.6,0.038297872340425525,0.04,0.1,0.17829787234042555,0.18,0.35829787234042554
30.0,18.0,71.0,30.0,72.0,155.0,777.0,747.0,0.6,0.6,0.16981132075471697,0.10843373493975904,0.1,0.378245055694476,0.18,0.558245055694476
30.0,61.0,141.0,30.0,158.0,315.0,777.0,747.0,0.6,0.6,0.11249999999999999,0.05732484076433121,0.1,0.2698248407643312,0.18,0.4498248407643312
30.0,1.0,210.0,30.0,227.0,348.0,777.0,747.0,0.6,0.6,0.043062200956937795,0.0743801652892562,0.1,0.217442366246194,0.18,0.397442366246194
30.0,8.0,86.0,30.0,102.0,226.0,777.0,747.0,0.6,0.6,0.11538461538461539,0.07258064516129033,0.1,0.28796526054590577,0.18,0.46796526054590576
30.0,92.0,282.0,30.0,282.0,309.0,777.0,747.0,0.6,0.6,0.047368421052631574,0.3,0.1,0.4473684210526315,0.18,0.6273684210526316
30.0,4.0,70.0,30.0,76.0,137.0,777.0,747.0,0.6,0.6,0.13636363636363635,0.14754098360655737,0.1,0.38390461997019376,0.18,0.5639046199701938
30.0,60.0,141.0,30.0,161.0,168.0,777.0,747.0,0.6,0.6,0.1111111111111111,0.3,0.1,0.5111111111111111,0.18,0.691111111111111
30.0,54.0,234.0,30.0,246.0,421.0,777.0,747.0,0.6,0.6,0.049999999999999996,0.05142857142857143,0.1,0.20142857142857143,0.18,0.38142857142857145
30.0,33.0,206.0,30.0,217.0,404.0,777.0,747.0,0.6,0.6,0.05202312138728323,0.0481283422459893,0.1,0.20015146363327255,0.18,0.38015146363327257
30.0,30.0,36.0,30.0,48.0,199.0,777.0,747.0,0.6,0.6,0.3,0.05960264900662251,0.1,0.4596026490066225,0.18,0.6396026490066224
30.0,105.0,184.0,30.0,212.0,417.0,777.0,747.0,0.6,0.6,0.11392405063291139,0.04390243902439024,0.1,0.2578264896573016,0.18,0.4378264896573016
30.0,65.0,163.0,30.0,166.0,284.0,777.0,747.0,0.6,0.6,0.09183673469387756,0.07627118644067796,0.1,0.2681079211345555,0.18,0.4481079211345555
30.0,29.0,135.0,30.0,161.0,308.0,777.0,747.0,0.6,0.6,0.08490566037735849,0.061224489795918366,0.1,0.24613015017327686,0.18,0.4261301501732768
30.0,94.0,164.0,30.0,166.0,175.0,777.0,747.0,0.6,0.6,0.12857142857142856,0.3,0.1,0.5285714285714286,0.18,0.7085714285714286
30.0,116.0,239.0,30.0,239.0,446.0,777.0,747.0,0.6,0.6,0.07317073170731707,0.043478260869565216,0.1,0.2166489925768823,0.18,0.3966489925768823
30.0,86.0,206.0,30.0,225.0,259.0,777.0,747.0,0.6,0.6,0.075,0.2647058823529412,0.1,0.43970588235294117,0.18,0.6197058823529411
30.0,58.0,66.0,30.0,87.0,251.0,777.0,747.0,0.6,0.6,0.3,0.054878048780487805,0.1,0.45487804878048776,0.18,0.6348780487804877
30.0,114.0,200.0,30.0,217.0,278.0,777.0,747.0,0.6,0.6,0.10465116279069768,0.14754098360655737,0.1,0.35219214639725505,0.18,0.532192146397255
30.0,4.0,213.0,30.0,229.0,279.0,777.0,747.0,0.6,0.6,0.043062200956937795,0.18,0.1,0.32306220095693783,0.18,0.5030622009569379
30.0,45.0,46.0,30.0,70.0,210.0,777.0,747.0,0.6,0.6,0.3,0.06428571428571428,0.1,0.4642857142857143,0.18,0.6442857142857144
30.0,65.0,206.0,30.0,231.0,322.0,777.0,747.0,0.6,0.6,0.06382978723404255,0.0989010989010989,0.1,0.26273088613514145,0.18,0.44273088613514144
30.0,18.0,98.0,30.0,108.0,143.0,777.0,747.0,0.6,0.6,0.11249999999999999,0.2571428571428571,0.1,0.46964285714285714,0.18,0.6496428571428572
30.0,5.0,15.0,30.0,36.0,255.0,777.0,747.0,0.6,0.6,0.3,0.0410958904109589,0.1,0.44109589041095887,0.18,0.6210958904109589
30.0,96.0,335.0,30.0,362.0,442.0,777.0,747.0,0.6,0.6,0.03765690376569037,0.11249999999999999,0.1,0.25015690376569033,0.18,0.4301569037656903
30.0,47.0,132.0,30.0,147.0,315.0,777.0,747.0,0.6,0.6,0.10588235294117647,0.05357142857142857,0.1,0.259453781512605,0.18,0.439453781512605
30.0,29.0,114.0,30.0,121.0,260.0,777.0,747.0,0.6,0.6,0.10588235294117647,0.06474820143884892,0.1,0.27063055438002537,0.18,0.45063055438002536
30.0,64.0,99.0,30.0,116.0,136.0,777.0,747.0,0.6,0.6,0.2571428571428571,0.3,0.1,0.6571428571428571,0.18,0.8371428571428572
30.0,76.0,260.0,30.0,268.0,349.0,777.0,747.0,0.6,0.6,0.04891304347826087,0.1111111111111111,0.1,0.260024154589372,0.18,0.440024154589372
30.0,114.0,161.0,30.0,169.0,355.0,777.0,747.0,0.6,0.6,0.19148936170212766,0.04838709677419355,0.1,0.3398764584763212,0.18,0.5198764584763211
30.0,91.0,223.0,30.0,250.0,391.0,777.0,747.0,0.6,0.6,0.06818181818181818,0.06382978723404255,0.1,0.23201160541586072,0.18,0.4120116054158607
30.0,111.0,251.0,30.0,261.0,286.0,777.0,747.0,0.6,0.6,0.06428571428571428,0.3,0.1,0.4642857142857143,0.18,0.6442857142857144
30.0,45.0,143.0,30.0,146.0,299.0,777.0,747.0,0.6,0.6,0.09183673469387756,0.058823529411764705,0.1,0.25066026410564224,0.18,0.43066026410564223
30.0,34.0,194.0,30.0,197.0,267.0,777.0,747.0,0.6,0.6,0.056249999999999994,0.12857142857142856,0.1,0.28482142857142856,0.18,0.46482142857142855
30.0,14.0,204.0,30.0,220.0,309.0,777.0,747.0,0.6,0.6,0.047368421052631574,0.10112359550561797,0.1,0.24849201655824957,0.18,0.42849201655824953
30.0,90.0,161.0,30.0,180.0,336.0,777.0,747.0,0.6,0.6,0.1267605633802817,0.057692307692307696,0.1,0.28445287107258943,0.18,0.4644528710725894
30.0,18.0,59.0,30.0,71.0,278.0,777.0,747.0,0.6,0.6,0.21951219512195122,0.043478260869565216,0.1,0.36299045599151647,0.18,0.5429904559915164
30.0,47.0,238.0,30.0,247.0,250.0,777.0,747.0,0.6,0.6,0.04712041884816754,0.3,0.1,0.44712041884816756,0.18,0.6271204188481676
30.0,38.0,101.0,30.0,117.0,322.0,777.0,747.0,0.6,0.6,0.14285714285714285,0.04390243902439024,0.1,0.28675958188153305,0.18,0.46675958188153305
30.0,36.0,58.0,30.0,83.0,133.0,777.0,747.0,0.6,0.6,0.3,0.18,0.1,0.58,0.18,0.76
30.0,53.0,235.0,30.0,239.0,449.0,777.0,747.0,0.6,0.6,0.04945054945054945,0.04285714285714285,0.1,0.1923076923076923,0.18,0.3723076923076923
30.0,86.0,271.0,30.0,279.0,517.0,777.0,747.0,0.6,0.6,0.04864864864864865,0.037815126050420166,0.1,0.18646377469906883,0.18,0.3664637746990688
30.0,87.0,325.0,30.0,333.0,557.0,777.0,747.0,0.6,0.6,0.037815126050420166,0.040178571428571425,0.1,0.1779936974789916,0.18,0.35799369747899157
30.0,107.0,265.0,30.0,282.0,414.0,777.0,747.0,0.6,0.6,0.056962025316455694,0.06818181818181818,0.1,0.22514384349827388,0.18,0.40514384349827387
30.0,41.0,136.0,30.0,165.0,207.0,777.0,747.0,0.6,0.6,0.09473684210526315,0.21428571428571427,0.1,0.4090225563909774,0.18,0.5890225563909774
30.0,88.0,182.0,30.0,211.0,285.0,777.0,747.0,0.6,0.6,0.09574468085106383,0.12162162162162163,0.1,0.3173663024726855,0.18,0.4973663024726855
30.0,114.0,251.0,30.0,257.0,492.0,777.0,747.0,0.6,0.6,0.06569343065693431,0.038297872340425525,0.1,0.20399130299735985,0.18,0.38399130299735984
30.0,19.0,69.0,30.0,77.0,148.0,777.0,747.0,0.6,0.6,0.18,0.1267605633802817,0.1,0.40676056338028166,0.18,0.5867605633802817
30.0,96.0,172.0,30.0,172.0,391.0,777.0,747.0,0.6,0.6,0.11842105263157894,0.0410958904109589,0.1,0.2595169430425378,0.18,0.4395169430425378
30.0,4.0,154.0,30.0,171.0,294.0,777.0,747.0,0.6,0.6,0.06,0.07317073170731707,0.1,0.23317073170731709,0.18,0.4131707317073171
30.0,87.0,176.0,30.0,194.0,318.0,777.0,747.0,0.6,0.6,0.10112359550561797,0.07258064516129033,0.1,0.27370424066690835,0.18,0.45370424066690834
30.0,21.0,65.0,30.0,77.0,107.0,777.0,747.0,0.6,0.6,0.20454545454545453,0.3,0.1,0.6045454545454545,0.18,0.7845454545454544
30.0,100.0,253.0,30.0,268.0,414.0,777.0,747.0,0.6,0.6,0.058823529411764705,0.06164383561643835,0.1,0.22046736502820308,0.18,0.40046736502820307
30.0,49.0,70.0,30.0,95.0,276.0,777.0,747.0,0.6,0.6,0.3,0.049723756906077346,0.1,0.44972375690607735,0.18,0.6297237569060774
30.0,117.0,173.0,30.0,200.0,209.0,777.0,747.0,0.6,0.6,0.1607142857142857,0.3,0.1,0.5607142857142857,0.18,0.7407142857142857
30.0,1.0,17.0,30.0,39.0,267.0,777.0,747.0,0.6,0.6,0.3,0.039473684210526314,0.1,0.43947368421052635,0.18,0.6194736842105264
30.0,37.0,90.0,30.0,96.0,213.0,777.0,747.0,0.6,0.6,0.16981132075471697,0.07692307692307691,0.1,0.3467343976777939,0.18,0.5267343976777938
30.0,96.0,184.0,30.0,206.0,208.0,777.0,747.0,0.6,0.6,0.10227272727272727,0.3,0.1,0.5022727272727272,0.18,0.6822727272727271
30.0,6.0,225.0,30.0,253.0,262.0,777.0,747.0,0.6,0.6,0.0410958904109589,0.3,0.1,0.44109589041095887,0.18,0.6210958904109589
30.0,5.0,48.0,30.0,74.0,293.0,777.0,747.0,0.6,0.6,0.20930232558139536,0.0410958904109589,0.1,0.3503982159923542,0.18,0.5303982159923541
30.0,77.0,258.0,30.0,265.0,384.0,777.0,747.0,0.6,0.6,0.049723756906077346,0.07563025210084033,0.1,0.22535400900691768,0.18,0.40535400900691765
30.0,57.0,163.0,30.0,176.0,376.0,777.0,747.0,0.6,0.6,0.08490566037735849,0.045,0.1,0.2299056603773585,0.18,0.4099056603773585
30.0,113.0,127.0,30.0,155.0,245.0,777.0,747.0,0.6,0.6,0.3,0.09999999999999999,0.1,0.5,0.18,0.6799999999999999
30.0,10.0,199.0,30.0,218.0,248.0,777.0,747.0,0.6,0.6,0.047619047619047616,0.3,0.1,0.4476190476190476,0.18,0.6276190476190475
30.0,22.0,259.0,30.0,261.0,329.0,777.0,747.0,0.6,0.6,0.0379746835443038,0.1323529411764706,0.1,0.27032762472077443,0.18,0.4503276247207744
30.0,83.0,191.0,30.0,209.0,340.0,777.0,747.0,0.6,0.6,0.08333333333333333,0.06870229007633587,0.1,0.25203562340966923,0.18,0.4320356234096692
30.0,75.0,224.0,30.0,241.0,298.0,777.0,747.0,0.6,0.6,0.060402684563758385,0.15789473684210525,0.1,0.31829742140586365,0.18,0.49829742140586364
30.0,80.0,193.0,30.0,222.0,441.0,777.0,747.0,0.6,0.6,0.07964601769911504,0.0410958904109589,0.1,0.22074190811007394,0.18,0.40074190811007393
30.0,68.0,201.0,30.0,209.0,277.0,777.0,747.0,0.6,0.6,0.06766917293233082,0.1323529411764706,0.1,0.3000221141088014,0.18,0.4800221141088014
30.0,8.0,155.0,30.0,179.0,361.0,777.0,747.0,0.6,0.6,0.061224489795918366,0.04945054945054945,0.1,0.21067503924646783,0.18,0.39067503924646785
30.0,24.0,227.0,30.0,249.0,393.0,777.0,747.0,0.6,0.6,0.04433497536945813,0.0625,0.1,0.20683497536945813,0.18,0.3868349753694581
30.0,47.0,245.0,30.0,271.0,376.0,777.0,747.0,0.6,0.6,0.045454545454545456,0.0857142857142857,0.1,0.23116883116883116,0.18,0.4111688311688312
